ID,Bezeichnung_DE,Synonyme_DE,Hauptgruppe_Original,Schwerpunkt,Hauptgruppe_Final,Hauptgruppe_Begründung,Parent_subClassOf_ID,Parent_partOf_ID,Begründung_optional
10846,Reparatursatz für Stabilisatorkoppelstange,Reparatursatz Stabilisatorkoppelstange,1 Unterboden,,1 Unterboden,,30000,,
10847,Zahnrad für Steuerkettenumlenkung,Zahnrad Steuerkettenumlenkung,2 Motorraum,,2 Motorraum,,,,
10848,Reparatursatz für Wasserpumpenentlüftung,Reparatursatz Wasserpumpenentlüftung,2 Motorraum,,2 Motorraum,,,,
10849,Verschlußstopfen für Kühlmittelflansch,Verschlußstopfen Kühlmittelflansch,2 Motorraum,,2 Motorraum,,,,
10850,Sensor für Kraftstoffdruck,Sensor Kraftstoffdruck,2 Motorraum,,2 Motorraum,,,,
10851,Relais für Starter,Relais Starter,2 Motorraum,,2 Motorraum,,,,
10852,Luftdrucksensor für Höhenanpassung,Luftdrucksensor Höhenanpassung,1 Unterboden,,1 Unterboden,,30000,,
10853,Wasserkasten für Kühler,Wasserkasten Kühler,2 Motorraum,,2 Motorraum,,,,
10854,Vorwiderstand für Klimalüfter,Vorwiderstand Klimalüfter,2 Motorraum,,2 Motorraum,,,,
10855,Sensor für Kühlmitteltemperatur,Sensor Kühlmitteltemperatur,2 Motorraum,,2 Motorraum,,,,
10856,Rahmen für Motorkühler,Rahmen Motorkühler,2 Motorraum,,2 Motorraum,,,,
10857,Innenraumgebläse,,4 Innenraum,,4 Innenraum,,,,
10858,Kettenspanner für Ölpumpenantrieb,Kettenspanner Ölpumpenantrieb,2 Motorraum,,2 Motorraum,,,,
10859,Heckleuchtensatz,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
10860,Kühlmittelflansch,,2 Motorraum,,2 Motorraum,,,,
10861,Stange/Strebe für Radaufhängung,Stange/Strebe Radaufhängung,1 Unterboden,,1 Unterboden,,30000,,
10862,Entlüfterschraube/-ventil für Kühler,Entlüfterschraube/-ventil Kühler,2 Motorraum,,2 Motorraum,,,10204,
10863,Bremsbackensatz,,1 Unterboden,,1 Unterboden,,20031,,
10864,Kugelbolzen für Spurstange,Kugelbolzen Spurstange,1 Unterboden,,1 Unterboden,,30000,,
10865,Faltenbalg für Lenkung,Faltenbalg Lenkung,1 Unterboden,,1 Unterboden,,30000,,
10866,Faltenbalg für Antriebswelle,Faltenbalg Antriebswelle,1 Unterboden,,1 Unterboden,,30000,10315,Auch 10316
10867,Faltenbalgsatz für Lenkung,Faltenbalgsatz Lenkung,1 Unterboden,,1 Unterboden,,30000,,
10868,Lagerung für Schaltgetriebe,Lagerung Schaltgetriebe,2 Motorraum,,2 Motorraum,,,,
10869,Dämpfer für Motorlagerung,Dämpfer Motorlagerung,2 Motorraum,,2 Motorraum,,,,
10870,Umlenkrolle für Zahnriemen,Umlenkrolle Zahnriemen,2 Motorraum,,2 Motorraum,,,,
10871,Dichtung für Zylinderkopf,Dichtung Zylinderkopf,2 Motorraum,,2 Motorraum,,,,
10872,Lagerbuchse für Stabilisator,Lagerbuchse Stabilisator,1 Unterboden,,1 Unterboden,,30000,,
10873,Hebelauge für Spurstange,Hebelauge Spurstange,1 Unterboden,,1 Unterboden,,30000,,
10874,Gelenk für Hinterachse,Gelenk Hinterachse,1 Unterboden,,1 Unterboden,,30000,,
10875,Seilzug für Kupplungsbetätigung,Seilzug Kupplungsbetätigung,2 Motorraum,,2 Motorraum,,,,
10876,Lagerbock für Motoraufhängung,Lagerbock Motoraufhängung,2 Motorraum,,2 Motorraum,,,,
10877,Lenkgestänge,,1 Unterboden,,1 Unterboden,,30000,,
10878,Halter für Motoraufhängung,Halter Motoraufhängung; Motorhalter,2 Motorraum,,2 Motorraum,,,,
10879,Spannarm für Keilrippenriemen,Spannarm Keilrippenriemen,2 Motorraum,,2 Motorraum,,,,
10880,Riemenspanner für Zahnriemen,Riemenspanner Zahnriemen,2 Motorraum,,2 Motorraum,,,,
10881,Spanner für Steuerkette,Spanner Steuerkette,2 Motorraum,,2 Motorraum,,,,
10882,Reparatursatz für Achsschenkelbolzen,Reparatursatz Achsschenkelbolzen,1 Unterboden,,1 Unterboden,,30000,10460,Auch 10960
10883,Reparatursatz für Führungsbolzen,Reparatursatz Führungsbolzen,1 Unterboden,,1 Unterboden,,30000,,
10884,Elektromotor für Kühlerlüfter,Elektromotor Kühlerlüfter,2 Motorraum,,2 Motorraum,,,,
10885,Schalter für Innenraumleuchte,Schalter Innenraumleuchte,4 Innenraum,,4 Innenraum,,,,
10886,Spurstangenrohr,,1 Unterboden,,1 Unterboden,,30000,,
10887,Lagerung für Stoßdämpfer,Lagerung Stoßdämpfer,1 Unterboden,,1 Unterboden,,30000,,
10888,Gleitschiene für Steuerkette,Gleitschiene Steuerkette,2 Motorraum,,2 Motorraum,,,,
10889,Lagerung für Stabilisator,Lagerung Stabilisator,1 Unterboden,,1 Unterboden,,30000,,
10890,Gelenk für Längswelle,Gelenk Längswelle,1 Unterboden,,1 Unterboden,,30000,,
10891,Anschlagpuffer für Motoraufhängung,Anschlagpuffer Motoraufhängung,2 Motorraum,,2 Motorraum,,,,
10892,Sensor für Nockenwelle,Sensor Nockenwelle,2 Motorraum,,2 Motorraum,,,,
10893,Montagesatz für Lenker,Montagesatz Lenker,1 Unterboden,,1 Unterboden,,30000,,
10894,Lagerung für Automatikgetriebeträger,Lagerung Automatikgetriebeträger,2 Motorraum,,2 Motorraum,,,,
10895,Lagerung für Schaltgetriebeträger,Lagerung Schaltgetriebeträger,2 Motorraum,,2 Motorraum,,,,
10896,Lagerung für Panhardstab,Lagerung Panhardstab,1 Unterboden,,1 Unterboden,,30000,,
10897,Lager für Federbeinlager,Lager Federbeinlager,1 Unterboden,,1 Unterboden,,30000,10463,
10898,Reparatursatz für Federbeinlager,Reparatursatz Federbeinlager,1 Unterboden,,1 Unterboden,,30000,10463,
10899,Umlenkrolle für Keilriemen,Umlenkrolle Keilriemen,2 Motorraum,,2 Motorraum,,,,
10900,Lagerung für Generator,Lagerung Generator,2 Motorraum,,2 Motorraum,,,,
10901,Lagerung für Verteilergetriebe,Lagerung Verteilergetriebe,2 Motorraum,,2 Motorraum,,,,
10902,Druckspeicher für Federung/Dämpfung,Druckspeicher Federung/Dämpfung,2 Motorraum,,2 Motorraum,,,,
10903,Schließzylinder für Zündschloß,Schließzylinder Zündschloß,3 Karosserie,Karosserie (Pflicht),4 Innenraum,Gehört zum Lenkschloss,,,
10904,Winkelgelenk für Lenkschubstange,Winkelgelenk Lenkschubstange,1 Unterboden,,1 Unterboden,,30000,,
10905,Lagerung für Stabilisatorkoppelstange,Lagerung Stabilisatorkoppelstange,1 Unterboden,,1 Unterboden,,30000,,
10906,Schwingungstilger für Gelenkwelle,Schwingungstilger Gelenkwelle,1 Unterboden,,1 Unterboden,,,,
10907,Lagerung für Kühler,Lagerung Kühler,2 Motorraum,,2 Motorraum,,,,
10908,Spannrolle für Keilriemen,Spannrolle Keilriemen,2 Motorraum,,2 Motorraum,,,,
10909,Lagerzapfen für Spannrollenhebel,Lagerzapfen Spannrollenhebel,2 Motorraum,,2 Motorraum,,,,
10910,Kette für Ölpumpenantrieb,Kette Ölpumpenantrieb,2 Motorraum,,2 Motorraum,,,,
10911,Querlenkerabstützung,,1 Unterboden,,1 Unterboden,,30000,,
10912,Dichtung für Abgaskrümmer,Dichtung Abgaskrümmer,2 Motorraum,,2 Motorraum,,,,
10913,Dichtung für Ansaug-/Abgaskrümmer,Dichtung Ansaug-/Abgaskrümmer,2 Motorraum,,2 Motorraum,,,,
10914,Dichtung für Ansaugkrümmer,Dichtung Ansaugkrümmer,2 Motorraum,,2 Motorraum,,,,
10915,Dichtungssatz für Ansaugkrümmer,Dichtungssatz Ansaugkrümmer,2 Motorraum,,2 Motorraum,,,,
10916,Dichtring für Ölablassschraube,Dichtring Ölablassschraube,1 Unterboden,,1 Unterboden,,,,
10917,Dichtungssatz für Kurbelgehäuse,Dichtungssatz Kurbelgehäuse,2 Motorraum,,2 Motorraum,,,,
10918,Dichtungssatz für Zylinderlaufbuchse,Dichtungssatz Zylinderlaufbuchse,2 Motorraum,,2 Motorraum,,,,
10919,Dichtungssatz für Lader,Dichtungssatz Lader,2 Motorraum,,2 Motorraum,,,,
10920,Dichtring für Abgasrohr,Dichtring Abgasrohr,1 Unterboden,,1 Unterboden,,,,
10921,Dichtungssatz für Zylinderkopf,Dichtungssatz Zylinderkopf,2 Motorraum,,2 Motorraum,,,,
10922,Dichtung für Zylinderkopfhaube,Dichtung Zylinderkopfhaube,2 Motorraum,,2 Motorraum,,,,
10923,Dichtring für Ventilschaft,Dichtring Ventilschaft,2 Motorraum,,2 Motorraum,,,,
10924,Dichtungssatz für Ventilschaft,Dichtungssatz Ventilschaft,2 Motorraum,,2 Motorraum,,,,
10925,Dichtung für Ölwanne,Dichtung Ölwanne,2 Motorraum,,2 Motorraum,,,,
10926,Dichtungsvollsatz für Motor,Dichtungsvollsatz Motor,2 Motorraum,,2 Motorraum,,,,
10927,Dichtungssatz für Steuergehäuse,Dichtungssatz Steuergehäuse,2 Motorraum,,2 Motorraum,,,,
10928,Wellendichtring für Kurbelwelle,Wellendichtring Kurbelwelle,2 Motorraum,,2 Motorraum,,,,
10929,Dichtungssatz für Schaltgetriebe,Dichtungssatz Schaltgetriebe,2 Motorraum,,2 Motorraum,,,,
10930,Dichtungssatz für Differential,Dichtungssatz Differential,2 Motorraum,,2 Motorraum,,,,
10931,Wellendichtring für Nockenwelle,Wellendichtring Nockenwelle,2 Motorraum,,2 Motorraum,,,,
10932,Zylinderkopfhaube,,2 Motorraum,,2 Motorraum,,,,
10933,Dichtungssatz für Zylinderkopfhaube,Dichtungssatz Zylinderkopfhaube,2 Motorraum,,2 Motorraum,,,,
10934,Dichtungssatz für Vergaser,Dichtungssatz Vergaser,2 Motorraum,,2 Motorraum,,,,
10935,Zylinderkopfschraubensatz,,2 Motorraum,,2 Motorraum,,,,
10936,Wegstrecken-Frequenzgeber,,1 Unterboden,,1 Unterboden,,,,
10937,Gelenkkreuz,,1 Unterboden,,1 Unterboden,,,,
10938,Rückspiegelschalter,,4 Innenraum,,4 Innenraum,,,,
10939,Überspannungsschutz,,2 Motorraum,,2 Motorraum,,,,
10940,Fahrradträger Dach,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10941,Fahrradträger Heck,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10942,Hinterachse komplett,,1 Unterboden,,1 Unterboden,,30000,,
10943,Innenraumleuchte,,4 Innenraum,,4 Innenraum,,,,
10944,Sensor für Gaspedalstellung,,4 Innenraum,,4 Innenraum,,,,
10945,Elektromotor für Innenraumgebläse,,2 Motorraum,,2 Motorraum,,,,
10946,Waschwasserpumpe für Scheinwerferreinigung,,2 Motorraum,,2 Motorraum,,,,
10947,Warnblinkrelais,,2 Motorraum,,2 Motorraum,,,,
10948,Relais fürZentralverriegelung,,2 Motorraum,,2 Motorraum,,,,
10949,Relais für Kühlerlüfternachlauf,,2 Motorraum,,2 Motorraum,,,,
10950,Kraftstofffördereinheit,,2 Motorraum,,2 Motorraum,,,,
10951,Relais für Abblendlicht,,2 Motorraum,,2 Motorraum,,,,
10952,Gebläseschalter Heizung/Lüftung,,4 Innenraum,,4 Innenraum,,,,
10953,Sensor für Ladedruck,,2 Motorraum,,2 Motorraum,,,,
10954,Widerstand Innenraumgebläse,,2 Motorraum,,2 Motorraum,,,,
10955,Überspannungsschutzrelais für ABS,,2 Motorraum,,2 Motorraum,,,,
10956,Sensor für Xenonlicht Leuchtweiteregulierung,,2 Motorraum,,2 Motorraum,,,,
10957,Schiebedach Glas,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10958,Schiebedach Metall,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10959,Sitzgarnitur komplett Leder nicht geteilt,,4 Innenraum,,4 Innenraum,,,,
10960,Achsschenkel (ABS),,1 Unterboden,,1 Unterboden,,30000,,
10961,Achse (ABS),,1 Unterboden,,1 Unterboden,,30000,,
10962,Vorderachse komplett,,1 Unterboden,,1 Unterboden,,30000,,
10963,Vorderachse (ABS) komplett,,1 Unterboden,,1 Unterboden,,30000,,
10964,Hinterachse (ABS) komplett,,1 Unterboden,,1 Unterboden,,30000,,
10965,Ventil für Kraftstoffförderanlage,,2 Motorraum,,2 Motorraum,,,,
10966,Kugelkopf für Schaltgestänge,,1 Unterboden,,1 Unterboden,,,,
10967,Kipphebelwelle für Motorsteuerung,,2 Motorraum,,2 Motorraum,,,,
10968,Pumpe für Kraftstoffvorförderung,,2 Motorraum,,2 Motorraum,,,,
10969,Spannarm für Zahnriemen,,2 Motorraum,,2 Motorraum,,,,
10970,Zahnrad für Nockenwelle,,2 Motorraum,,2 Motorraum,,,,
10971,Reparatursatz für Stabilisatorlager,,2 Motorraum,,2 Motorraum,,,,
10972,Kühlmittelregelventil,,2 Motorraum,,2 Motorraum,,,,
10973,Sensorring für ABS,,1 Unterboden,,1 Unterboden,,20031,,
10974,Schwingungsdämpfer für Zahnriemen,,2 Motorraum,,2 Motorraum,,,,
10975,Lüfterblatt für Klimakondensator,,2 Motorraum,,2 Motorraum,,,,
10976,Antriebsstange für Wischergestänge,,2 Motorraum,,2 Motorraum,,,,
10977,Gestängedämpfer für Einspritzanlage,,2 Motorraum,,2 Motorraum,,,,
10978,Sensor für Kraftstoffdruck,,2 Motorraum,,2 Motorraum,,,,
10979,Expansionsventil für Klimaanlage,,2 Motorraum,,2 Motorraum,,,,
10980,Niederdruckleitung für Klimaanlage,,2 Motorraum,,2 Motorraum,,,,
10981,Hochdruck-/Niederdruckleitung für Klimaanlage,Klimaleitung,2 Motorraum,,2 Motorraum,,,,
10982,Hochdruckleitung für Klimaanlage,,2 Motorraum,,2 Motorraum,,,,
10983,Niederdruckschalter für Klimaanlage,,2 Motorraum,,2 Motorraum,,,,
10984,Ölkühler für Automatikgetriebe,,2 Motorraum,,2 Motorraum,,,,
10985,Druckschalter für Klimaanlage,,2 Motorraum,,2 Motorraum,,,,
10986,Rohrleitung für Wärmetauscher,,2 Motorraum,,2 Motorraum,,,,
10987,Airbag Dach,Dachairbag; Dach-Airbag,4 Innenraum,,4 Innenraum,,20020,,
10988,Airbag Beifahrer,Beifahrerairbag; Beifahrer-Airbag,4 Innenraum,,4 Innenraum,,20020,,
10989,Airbag Fahrer,Fahrerairbag; Fahrer-Airbag,4 Innenraum,,4 Innenraum,,20020,,
10990,Gurtstraffer,,4 Innenraum,,4 Innenraum,,20021,,
10991,Airbag Knie,Knieairbag; Knie-Airbag,4 Innenraum,,4 Innenraum,,20020,,
10992,Airbag Seite,Seitenairbag,4 Innenraum,,4 Innenraum,,20020,,
10993,Pumpe-Düse-Einheit,,2 Motorraum,,2 Motorraum,,,,
10994,Sensor für ESP,Sensor Querbeschleunigung,2 Motorraum,,2 Motorraum,,,,
10995,Sensor für Längsbeschleunigung,,2 Motorraum,,2 Motorraum,,,,
10996,Abdeckung für Zahnriemen,,2 Motorraum,,2 Motorraum,,,,
10997,Achsgetriebeöl,,1 Unterboden,,1 Unterboden,,,,
10998,Achsmutter für Antriebswelle,,1 Unterboden,,1 Unterboden,,,,
10999,Achsschenkelbolzen,,1 Unterboden,,1 Unterboden,,30000,,
11000,Aktivkohlefilter für Tankentlüftung,,2 Motorraum,,2 Motorraum,,,,
11001,Anlasserbuchse für Kupplungsglocke,,2 Motorraum,,2 Motorraum,,,,
11002,Anschlussleitung für Unfalldatenspeicher,,2 Motorraum,,2 Motorraum,,,,
11003,Ausrücklager,,2 Motorraum,,2 Motorraum,,,,
11004,Bremsbelag für Scheibenfeststellbremse,,1 Unterboden,,1 Unterboden,,20031,,
11005,Bremsbelag für Trommelbremse,,1 Unterboden,,1 Unterboden,,20031,11312,
11006,Bremssattelachssatz,,1 Unterboden,,1 Unterboden,,20031,,
11007,Buchse für Lenkstockhebel,,2 Motorraum,,2 Motorraum,,,,
11008,Buchse für Stoßdämpfer,,1 Unterboden,,1 Unterboden,,30000,,
11009,Clip für Stoßfänger,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no is auch 10571-10580, 10611"
11010,Dichtring für Thermoschalter,,2 Motorraum,,2 Motorraum,,,,
11011,Dichtung für Differenzial,,2 Motorraum,,2 Motorraum,,,,
11012,Dichtung für Heckscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11013,Dichtung für Kraftstoffpumpe,,2 Motorraum,,2 Motorraum,,,,
11014,Dichtung für Kühlmittelflansch,,2 Motorraum,,2 Motorraum,,,,
11015,Dichtung für Kurbelgehäuseentlüftung,,2 Motorraum,,2 Motorraum,,,,
11016,Dichtung für Öleinfüllstutzenverschluss,,2 Motorraum,,2 Motorraum,,,,
11017,Dichtung für Ölfiltergehäuse,,2 Motorraum,,2 Motorraum,,,,
11018,Dichtung für Ölpeilstab,,2 Motorraum,,2 Motorraum,,,,
11019,Dichtung für Ölpumpe,,2 Motorraum,,2 Motorraum,,,,
11020,Dichtung für Schaltgestänge,,2 Motorraum,,2 Motorraum,,,,
11021,Dichtung für Schaltgetriebe,,2 Motorraum,,2 Motorraum,,,,
11022,Dichtung für Seitenscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11023,Dichtung für Steuergehäuse,,2 Motorraum,,2 Motorraum,,,,
11024,Dichtung für Stößelstangenschutzrohr,,2 Motorraum,,2 Motorraum,,,,
11025,Dichtung für Tankgeber,,2 Motorraum,,2 Motorraum,,,,
11026,Dichtung für Thermostat,,2 Motorraum,,2 Motorraum,,,,
11027,Dichtung für Thermostatgehäuse,,2 Motorraum,,2 Motorraum,,,,
11028,Dichtung für Vergaserflansch,,2 Motorraum,,2 Motorraum,,,,
11029,Dichtung für Wasserpumpe,,2 Motorraum,,2 Motorraum,,,,
11030,Dichtung für Zylinderkopfhaubenschrauben,,2 Motorraum,,2 Motorraum,,,,
11031,Dichtungssatz für Abgaskrümmer,,2 Motorraum,,2 Motorraum,,,,
11032,Dichtungssatz für Bremssattel,,1 Unterboden,,1 Unterboden,,20031,10483,
11033,Dichtungssatz für Radnabe,,1 Unterboden,,1 Unterboden,,30000,,
11034,Diodenträger für Generator,,2 Motorraum,,2 Motorraum,,,,
11035,Druckstück für Einlass-/Auslassventil,,2 Motorraum,,2 Motorraum,,,,
11036,Einparkhilfe,,2 Motorraum,,2 Motorraum,,,,
11037,Entlüftungsschlauch für Kraftstoffbehälter,,2 Motorraum,,2 Motorraum,,,,
11038,Feder für Schalldämpfer,,1 Unterboden,,1 Unterboden,,,,
11039,Federgehänge,,1 Unterboden,,1 Unterboden,,,,
11040,Filter für Kurbelgehäuseentlüftung,,2 Motorraum,,2 Motorraum,,,,
11041,Flanschdeckel für Automatikgetriebe,,2 Motorraum,,2 Motorraum,,,,
11042,Flanschdeckel für Schaltgetriebe,,2 Motorraum,,2 Motorraum,,,,
11043,Führungshülse für Kupplung,,2 Motorraum,,2 Motorraum,,,,
11044,Führungshülsensatz für Bremssattel,,1 Unterboden,,1 Unterboden,,20031,,
11045,Führungslager für Kupplung,,2 Motorraum,,2 Motorraum,,,,
11046,Gasabscheider für Vergaser,,2 Motorraum,,2 Motorraum,,,,
11047,Gasfeder für Heckscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11048,Gehäuse für Kennzeichenleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10223,
11049,Gelenk für Lenksäule,,2 Motorraum,,2 Motorraum,,,,
11050,Generatorfreilauf,,2 Motorraum,,2 Motorraum,,,,
11051,Gewindehülse Federbein,,1 Unterboden,,1 Unterboden,,30000,,
11052,Glühlampe für Brems-/Schlusslicht,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10561,
11053,Glühlampe für Hauptlichtschalter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
11054,Glühlampe für Innenraumleuchte,,4 Innenraum,,4 Innenraum,,,,
11055,Glühlampe für Instrumentenbeleuchtung,,4 Innenraum,,4 Innenraum,,,,
11056,Glühlampe für Klimaregulierung,,4 Innenraum,,4 Innenraum,,,,
11057,Glühlampe für Leseleuchte,,4 Innenraum,,4 Innenraum,,,,
11058,Glühlampe für Nebelscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10240,
11059,Glühlampe für Park-/Positionsleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
11060,Glühlampe für Rückfahrleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10661,
11061,Glühlampe für Türleuchte,,4 Innenraum,,4 Innenraum,,,,
11062,Halter für Hauptscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
11063,Halter für Kraftstoffpumpe,,2 Motorraum,,2 Motorraum,,,,
11064,Handsensor für Alarmanlage,,4 Innenraum,,4 Innenraum,,,,
11065,Heckklappengriff,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,10347,"Parent Prt auch 10554,10555"
11066,Kappe für Radlager,,1 Unterboden,,1 Unterboden,,30000,,
11067,Keilrippenriemen,,2 Motorraum,,2 Motorraum,,,,
11068,Keilrippenriemensatz,,2 Motorraum,,2 Motorraum,,,,
11069,Klemmstück für Abgasanlage,,1 Unterboden,,1 Unterboden,,,,
11070,Kofferraumleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
11071,Kraftstoffschlauch,,2 Motorraum,,2 Motorraum,,,,
11072,Kühlmittelrohrleitung,,2 Motorraum,,2 Motorraum,,,,
11073,Kupplungsleitung,,2 Motorraum,,2 Motorraum,,,,
11074,Ladedruckregelventil,,2 Motorraum,,2 Motorraum,,,,
11075,Ladeluftschlauch,,2 Motorraum,,2 Motorraum,,,,
11076,Lager für Gelenkwellenmittellager,,1 Unterboden,,1 Unterboden,,,,
11077,Lager für Lüfterwelle-Motorkühlung,,2 Motorraum,,2 Motorraum,,,,
11078,Lagerbock für Schaltgestänge,,2 Motorraum,,2 Motorraum,,,,
11079,Lagerung für Blattfeder,,1 Unterboden,,1 Unterboden,,30000,,
11080,Lagerung für Lenkgetriebe,,2 Motorraum,,2 Motorraum,,30000,,
11081,Lagerung für Spurstange,,2 Motorraum,,2 Motorraum,,,,
11082,Lichtwarner,,4 Innenraum,,4 Innenraum,,,,
11083,Mutter für Achsstummel,,1 Unterboden,,1 Unterboden,,,,
11084,Nebelscheinwerfersatz,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10240,
11085,Ölabstreifblech für Kurbelgehäuseentlüftung,,2 Motorraum,,2 Motorraum,,,,
11086,Pedalbelag für Bremspedal,,4 Innenraum,,4 Innenraum,,20031,11375,
11087,Pedalbelag für Kupplungsbelag,,4 Innenraum,,4 Innenraum,,,,
11088,Pleuellager,,2 Motorraum,,2 Motorraum,,,,
11089,Pleuelschraube,,2 Motorraum,,2 Motorraum,,,,
11090,Puffer für Motorhaube,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
11091,Pulldowndose für Vergaser,,2 Motorraum,,2 Motorraum,,,,
11092,Radschraube,,1 Unterboden,,1 Unterboden,,30000,,
11093,Relais für Innenraumgebläse,,4 Innenraum,,4 Innenraum,,,,
11094,Relais für Nebelscheinwerfer,,2 Motorraum,,2 Motorraum,,,,
11095,Reparatursatz für Federbolzen,,1 Unterboden,,1 Unterboden,,30000,,
11096,Reparatursatz für Automatikgetriebeflansch,,2 Motorraum,,2 Motorraum,,,,
11097,Reparatursatz für Bremssattel,,1 Unterboden,,1 Unterboden,,20031,,
11098,Reparatursatz für Lenker,,2 Motorraum,,2 Motorraum,,,,
11099,Reparatursatz für Lenkgetriebe,,2 Motorraum,,2 Motorraum,,30000,100504,Auch 10505
11100,Reparatursatz für Schaltgetriebeflansch,,2 Motorraum,,2 Motorraum,,,,
11101,Reparatursatz für Schalthebel,,2 Motorraum,,2 Motorraum,,,,
11102,Reparatursatz für Spannarm-Keilrippenriemen,,2 Motorraum,,2 Motorraum,,,,
11103,Reparatursatz für Spurstange,,1 Unterboden,,1 Unterboden,,30000,,
11104,Reparatursatz für Spurstangenkopf,,1 Unterboden,,1 Unterboden,,30000,,
11105,Reparatursatz für Trag-/Führungsgelenk,,1 Unterboden,,1 Unterboden,,30000,,
11106,Reparatursatz für Zündverteiler,,2 Motorraum,,2 Motorraum,,,,
11107,Reparartursatz für Axialgelenk Spurstange,,1 Unterboden,,1 Unterboden,,30000,,
11108,Resonator für Abgasanlage,,1 Unterboden,,1 Unterboden,,,,
11109,Rohrverbinder für Abgasanlage,,1 Unterboden,,1 Unterboden,,,,
11110,Rollensatz für Zahnriemen,,2 Motorraum,,2 Motorraum,,,,
11111,Saugrohr für Luftversorgung,,2 Motorraum,,2 Motorraum,,,,
11112,Schlauch für Kurbelgehäuseentlüftung,,2 Motorraum,,2 Motorraum,,,,
11113,Schlauch für Wärmetauscher-Heizung,,2 Motorraum,,2 Motorraum,,,,
11114,Schlauchverbinder für Kraftstoffschlauch,,2 Motorraum,,2 Motorraum,,,,
11115,Schraube für Bremsscheibe,,1 Unterboden,,1 Unterboden,,20031,,
11116,Schraube für Gelenkwellenflansch,,2 Motorraum,,2 Motorraum,,,,
11117,Schraube für Kühlerverschluss,,2 Motorraum,,2 Motorraum,,,,
11118,Schraube für Lagerbock-Kurbelwelle,,2 Motorraum,,2 Motorraum,,,,
11119,Schraube für Spanrolle,,2 Motorraum,,2 Motorraum,,,,
11120,Schutzdeckel für Radnabe,,1 Unterboden,,1 Unterboden,,30000,,
11121,Schwimmer für Vergaser,,2 Motorraum,,2 Motorraum,,,,
11122,Seilzug für Betriebsbremse,,1 Unterboden,,1 Unterboden,,20031,,
11123,Sensor für Kraftstoffvorrat,,2 Motorraum,,2 Motorraum,,,,
11124,Sicherungsblech für Trag-/Führungsgelenk,,1 Unterboden,,1 Unterboden,,30000,,
11125,Spurstangensatz,,1 Unterboden,,1 Unterboden,,30000,,
11126,Starterzug,,2 Motorraum,,2 Motorraum,,,,
11127,Steckerhülse für Zündanlage,,2 Motorraum,,2 Motorraum,,,,
11128,Stecker für Zündkerze,,2 Motorraum,,2 Motorraum,,,,
11129,Stellelement für Mischklappe,,2 Motorraum,,2 Motorraum,,,,
11130,Stellelement für Sitzlehnenverstellung,,4 Innenraum,,4 Innenraum,,,,
11131,Stellelement für Sitzverstellung,,4 Innenraum,,4 Innenraum,,,,
11132,Steuerkettensatz,,2 Motorraum,,2 Motorraum,,,,
11133,Stopfen für Kipphebelwellen-Montagebohrung,,2 Motorraum,,2 Motorraum,,,,
11134,Tankdeckelschloss,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11135,Temperaturschalter für Kühlmittelwarnlampe,,2 Motorraum,,2 Motorraum,,,,
11136,Türgriffbetätigung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
11137,Türscharnier,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
11138,Umlenkwelle für Schaltung,,2 Motorraum,,2 Motorraum,,,,
11139,Unterdruckdose für Vergaser,,2 Motorraum,,2 Motorraum,,,,
11140,Unterdruckschlauch für Bremsanlage,,1 Unterboden,,1 Unterboden,,20031,,
11141,Unterdrucksteuerventil für Abgasrückführung,,1 Unterboden,,1 Unterboden,,30000,,
11142,Unterlegschiebe für Zylinderkopfschraube,,2 Motorraum,,2 Motorraum,,,,
11143,Ventil für Bremskraftverstärker,,1 Unterboden,,1 Unterboden,,20031,10481,
